seller_id,max_price,min_price,average_product_price,most_common_cat,number_of_product_categories,average_products_per_month,num_products_stock,state,zip_code_prefix_2_digits,average_sales_per_month,average_sales_per_month_log
4049512728d969bec69f84088b012416,104.49,8.09,43.315555555555555,sports_leisure,2,1.0,7,MG,30,38.983999999999995,3.663151305541205
22c32ec35d0116ef02c281798a25bf8b,18.0,18.0,18.0,sports_leisure,1,4.0,1,PR,87,72.0,4.276666119016055
a213f1bd6458f4a158f3746cb2514559,41.52,41.52,41.52,computers_accessories,1,1.0,1,PR,87,41.52,3.7261752388576332
2305ab43e846518f58dd9d59f3f54e96,329.9,139.0,262.9633333333333,perfumery,1,2.0,3,SP,08,394.445,5.977479713582954
232a6014e7b10cba61c6c2b2ea6bb4b0,249.9,12.89,108.88527777777783,pet_shop,1,2.0,20,SP,16,217.77055555555566,5.383442011073124
a254c682cc01e119f83530446f1df9a9,105.0,56.9,81.34285714285714,pet_shop,1,2.0,3,SP,16,94.89999999999999,4.552823705615882
236585a4ddb5fea9fa40233e2249ed91,69.99,49.9,59.04818181818182,computers_accessories,2,2.0,3,RS,95,64.953,4.173663931426356
2379bdc3888025689a9deb7b141507d5,329.9,7.9,111.05555555555554,perfumery,2,2.0,8,SP,13,142.78571428571428,4.961345004885142
238fac594e170b59c6d228f5a4f4f1d9,119.0,59.0,104.2,pet_shop,1,3.0,6,SP,17,284.1818181818182,5.649614238183052
52092ddbd3a58c450a4459bf051b2287,149.0,22.8,58.61666666666667,sports_leisure,1,2.0,4,SP,17,70.34,4.253340627045836
23a0ffca143a15b9b5bbdb7d552f626a,920.0,49.99,154.93791666666667,garden_tools,2,4.0,12,SP,13,619.7516666666667,6.429318860168104
e504a4e2efaa45cbff7e268a2c58c956,99.9,89.9,99.06666666666666,housewares,1,3.0,6,SP,13,297.2,5.694405312843604
23c38debaffe4a25a30fdbd9b586a13f,289.0,39.5,117.00391304347832,garden_tools,5,10.0,12,SP,18,1076.4360000000006,6.98141086310954
cfb1a033743668a192316f3c6d1d2671,269.0,15.9,70.2459574468084,bed_bath_table,1,10.0,60,SP,18,695.0652631578937,6.544005744980412
f63d8f293af3a6454377546bd9dd19ff,139.99,29.99,62.565000000000005,auto,2,3.0,11,SP,18,175.18200000000002,5.165825433498177
23ca5f678e0b3ea6c630b30fa8bf51ea,27.0,24.0,26.142857142857142,appliances,1,3.0,4,SP,02,61.0,4.110873864173311
6a8a889bde935bafa76d7848782dfaf9,33.0,25.49,28.694000000000006,appliances,2,10.0,6,SP,02,286.94000000000005,5.6592731346702445
23d7c96d4a1160db1c726b248601b25a,1079.9,22.9,205.05924528301873,cool_stuff,9,4.0,40,SP,13,776.2957142857138,6.654533522702995
3481aa57cd91f9f9d3fa1fa12d9a3bf7,110.0,59.9,71.62937500000001,home_decor,2,2.0,4,SP,13,104.18818181818183,4.646198704635316
57fe6232e67823593374a2281d7a8af8,27.92,15.12,22.400000000000002,books,1,1.0,5,SP,13,13.440000000000001,2.5982353350950036
6860153b69cc696d5dcfe1cdaaafcf62,199.99,14.09,45.56702380952373,construction,3,9.0,22,SP,13,382.76299999999935,5.947415998689938
23ff42c4bf1f8f16cddb19d8b972974a,74.9,24.9,58.23333333333334,sports_leisure,1,2.0,2,MG,37,87.35000000000001,4.469923036580066
240b9776d844d37535668549a396af32,1099.0,59.99,377.55777777777763,telephony,5,18.0,11,RJ,24,6796.039999999997,8.824095368589687
244b04680fdbded0acf5aebd9c92b44a,1775.9,575.9,1159.2333333333333,arts,1,1.0,3,SP,13,869.4250000000001,6.767832073604799
a1544b9ea0b2390e020537d4daa89049,199.9,49.9,99.0111111111111,fashion,1,1.0,4,SP,13,46.9,3.8480176754522337
244c2f1bff6afe1f2eaf9bfe9b2aed38,122.0,46.0,95.9,home_decor,1,3.0,11,SP,08,221.30769230769232,5.399554006090011
247587846358bb1d2e4c6522020b36fe,99.0,99.0,99.0,pet_shop,1,1.0,1,SP,15,99.0,4.59511985013459
2493dc3f20131696a0ecdb9948051a8d,164.89,81.8,126.095,cool_stuff,1,4.0,3,DF,71,504.38,6.223329952234061
249f0e9905a6e06ad6c6bea7547ab9f6,139.0,69.95,115.98333333333333,arts,2,2.0,3,RJ,20,173.975,5.158911610730914
24a6daf925d9d591870a66660416de31,31.0,29.0,30.0,books,1,1.0,2,SP,14,15.0,2.70805020110221
bd15ee794d5e640d9dd71b665b2ab15b,34.9,22.9,31.23333333333333,sports_leisure,2,3.0,4,SP,14,74.96,4.316954637930166
24c1de8d9551c0b4fbc53317d53efda8,355.0,355.0,355.0,sports_leisure,1,1.0,1,PB,58,355.0,5.872117789475416
2528513dd95219a6013d4d05176e391a,799.0,26.0,197.58303030303037,bed_bath_table,3,10.0,83,SP,06,1811.1777777777784,7.501732618597121
2528744c5ef5d955adc318720a94d2e7,2399.0,549.0,1249.0,other,1,1.0,3,SP,13,693.8888888888889,6.542311845223459
253f95b3a0e6983ae18aed49fbc2b845,321.9,108.9,159.9,auto,1,2.0,2,SP,04,266.5,5.585374243605899
818d28f936e791926d33bcb6ee94ef79,27.9,27.9,27.9,telephony,1,1.0,4,SP,04,27.9,3.32862668882732
257e61d3251fb5efb9daadddbc2cf7ca,1999.0,219.0,644.0833333333334,baby,2,3.0,12,PR,86,1545.8,7.34329685467277
258447aad3f7b01e2643c89f64dc5647,51.9,51.9,51.9,health_beauty,1,1.0,1,PR,87,51.9,3.949318790171843
259f7b5e6e482c230e5bfaa670b6bb8f,139.9,29.9,51.57849397590346,bed_bath_table,2,10.0,24,SP,08,475.66833333333193,6.164720832656825
25c5c91f63607446a97b143d2d535d31,830.51,110.0,203.45134099616897,computers_accessories,1,21.0,16,MG,35,4084.6769230769305,8.314997915568377
f3041c2e75ec683697a6a5ea82192210,145.0,145.0,145.0,home_decor,1,1.0,1,MG,35,145.0,4.976733742420574
25cf099de44674fde97473224f9d59ab,130.0,10.0,33.087199999999996,auto,1,4.0,30,SP,06,110.29066666666667,4.703119304969899
25debeafbce801fdd479539350185eee,64.99,12.9,39.64166666666667,perfumery,2,1.0,3,SP,17,21.622727272727275,3.07374495007992
8b11118053756a9a2932f447e11fc1b5,79.99,79.99,79.99,telephony,1,1.0,1,SP,17,79.99,4.3819016268607305
25e47381a6c510ddeb36084e33b89f0c,109.9,59.9,92.98333333333333,bed_bath_table,1,6.0,7,SP,11,557.9,6.324179734851483
25e6ffe976bd75618accfe16cefcbd0d,1449.0,15.0,99.92767241379308,toys,6,6.0,53,SP,05,551.9814285714284,6.313514401818787
262237171f48e85819065498cac80d7b,59.9,59.9,59.89999999999999,sports_leisure,1,1.0,1,SC,88,46.076923076923066,3.8303122406539125
2646baaf662d4d92ac48f047e35db92d,219.0,8.9,70.16944444444445,auto,4,5.0,10,SP,03,315.76250000000005,5.754990348728874
26562f211dd1364af2a8596dc945e8ae,62.0,37.0,49.5,home_decor,2,2.0,2,SP,09,99.0,4.59511985013459
265fdc289dffa9f1ad801c74f7d0de47,495.0,495.0,495.0,furniture,1,1.0,1,SP,15,495.0,6.20455776256869
2d9e8987a2ea5cf88dce330249043ff1,119.9,119.9,119.9,furniture,1,2.0,2,SP,15,239.8,5.479805242593414
50bf89f1349bc0409a268c3a49678009,179.9,179.9,179.9,home_decor,1,1.0,1,SP,15,179.9,5.192401140956488
