zip_code_prefix,state,lat,lng,zip_code_prefix_1_digits,zip_code_prefix_2_digits,zip_code_prefix_3_digits,zip_code_prefix_4_digits,x,y
01129,SP,-23.524051385464382,-46.645073040129965,0,01,011,0112,-5192505.778842322,-2695518.019790025
01130,SP,-23.524830820867123,-46.64492992157745,0,01,011,0113,-5192489.846957932,-2695612.6509477645
01131,SP,-23.522379737671034,-46.64310784736644,0,01,011,0113,-5192287.014584575,-2695315.0671238345
01132,SP,-23.521539879304328,-46.64873923331726,0,01,011,0113,-5192913.897601081,-2695213.101943549
01133,SP,-23.52042428170985,-46.65332230946677,0,01,011,0113,-5193424.083304311,-2695077.6609341227
01134,SP,-23.518899939878278,-46.65269033643668,0,01,011,0113,-5193353.732388406,-2694892.597496118
01135,SP,-23.526190426729194,-46.650970041202214,0,01,011,0113,-5193162.229998891,-2695777.7218720187
01136,SP,-23.523986920181724,-46.66135135045781,0,01,011,0113,-5194317.872058991,-2695510.1930929637
01137,SP,-23.522851480322114,-46.65280923153936,0,01,011,0113,-5193366.967730694,-2695372.3405475705
01138,SP,-23.52245582393925,-46.65525390366422,0,01,011,0113,-5193639.107386789,-2695324.3046064354
01139,SP,-23.520724956071753,-46.665938971441705,0,01,011,0113,-5194828.563690872,-2695114.1646996704
01140,SP,-23.520438443709033,-46.6692371684404,0,01,011,0114,-5195195.717301302,-2695079.380288349
01141,SP,-23.520310325905555,-46.66643901391753,0,01,011,0114,-5194884.228164656,-2695063.826001922
01142,SP,-23.519934305152642,-46.6251300217966,0,01,011,0114,-5190285.73219657,-2695018.1748657306
01144,SP,-23.52357274929584,-46.67242459028444,0,01,011,0114,-5195550.539477925,-2695459.9089085595
01150,SP,-23.532953023597276,-46.658245942661374,0,01,011,0115,-5193972.179644387,-2696598.799948389
01151,SP,-23.53164158468372,-46.65628875324909,0,01,011,0115,-5193754.306315626,-2696439.5688029737
01152,SP,-23.529884845741275,-46.65527643333265,0,01,011,0115,-5193641.615378007,-2696226.2730942448
01153,SP,-23.529930846298743,-46.65354908690434,0,01,011,0115,-5193449.328053185,-2696231.858248354
01154,SP,-23.530535897249937,-46.65929570388057,0,01,011,0115,-5194089.038528762,-2696305.3206443037
01155,SP,-23.529072884025155,-46.66331995168207,0,01,011,0115,-5194537.015744852,-2696127.689146987
01156,SP,-23.52892113830292,-46.66643724514501,0,01,011,0115,-5194884.031265799,-2696109.265079449
01189,SP,-23.532108255063783,-46.63839470107914,0,01,011,0118,-5191762.349539839,-2696496.230397977
01200,SP,-23.53156777324141,-46.649869077846425,0,01,012,0120,-5193039.671318743,-2696430.60687687
01201,SP,-23.536082809674177,-46.6495393904693,0,01,012,0120,-5193002.970687801,-2696978.8159969347
01202,SP,-23.533742576459318,-46.64828045105448,0,01,012,0120,-5192862.826193203,-2696694.6659541405
01203,SP,-23.53596465666131,-46.64529955632679,0,01,012,0120,-5192530.994510008,-2696964.469791178
01204,SP,-23.53599263946852,-46.644089822607214,0,01,012,0120,-5192396.327568349,-2696967.8674783166
01205,SP,-23.536490774893963,-46.642641966809634,0,01,012,0120,-5192235.152998221,-2697028.351464088
